chunk_id,n_sentences,text
0,20,"the half-ling book one in the fall of igneeria series kaylee soderburg copyright 2013 kaylee soderburg all rights reserved . isbn : 1492913731 isbn-13 : 978-1492913733 for my family , who encouraged me to never stop fighting for my dreams chapter 1 summer vacations supposed to be fun , right ? i wish i had a better answer to that question . starlings , new york is not the place youd expect much to happen . its a small quiet town , the kind where everyone knows your name . its a place where your parents wouldnt even care if you stayed out late biking with your friends . only because everyone felt so safe , so comfy . i know it all and starlings is not the place where you want to be after dark . the only reason why no one knows this is because jason , emily , seth and i have kept it that way . i walked along the empty road alone , occasionally waving to passing kids on bikes . my backpack was slung over my shoulder , filled with my writing books and sketchpads . i kept my eyes on the shadowed road , watching my every step . usually i was more aware of my surroundings , but today i was tired and didnt care if i rammed into a tree . the sun was starting to set , painting the sky in brilliant oranges and reds . it slipped down the sky , allowing the first stars to peek out from behind the bright curtain . the remaining light cast shadows over everything , creating the illusion that there was double of everything . the world prepared to go into its hours of unreal silence that made it seem magical , and it really was . my phone buzzed and i awoke from my trance . i thumbed the keypad and opened the message seth had sent me . i flipped open the pad and wrote : walking home ."
1,20,"i shoved it back in my pocket and continued walking . the sun was almost gone and shadows were starting to appear behind everything . i looked at my own shadow , that danced behind me . the phone buzzed again as seth sent me a reply . my ears heard nothing and i didnt see any movement but my hands shook slightly as i typed , nothing , im fine . i didnt open his reply because i knew what it would say . i already knew that it was strangely quiet . maybe i could stay home and sleep one night . or maybe i could finish a painting tonight and watch mom do origami . i turned the corner , and my house came into view . i started to climb the hill when i froze . out of my left eye i saw the outline of a creature . it was heading through the woods in the direction of my house . i swore under my breath and took off for the woods . my feet crunched on the fallen branches and leaves . i placed my bag on the ground and crossed my legs . i started to grab my phone but stopped . i didnt need to tell the others , it was just one . and if i was lucky , it would be an easy take down . i closed my eyes and began my mental countdown ."
2,20,"the wind picked up around me , as if a wind current had just appeared out of nowhere . 5 my body started to feel hot , like i was being hugged by the sun . 4 power surged through me as i was freed from my human self . 3 i felt cold , like being dipped in ice water . 2 i was hollow and could probably see my own body if i opened my eyes . but i could never get the courage to do that . my body felt normal except it was different . i opened my eyes and looked over to where i just had been or still was . my human body slightly glowed as it sat in meditation under the tree . i could see the monster clearly now that i had stepped into its world . it was hunched over , occasionally touching the ground with one of its curled front paws . the beady black eyes made it no less scary . thrashers were probably one of the most feral and nasty monsters ive ever encountered . they sometimes travel alone or hunt in packs . theyre awful in packs , extremely hard to take out without their knowledge of your presence . i placed an arrow in my bow , and aimed for the head . i couldnt let the creature reach my house . i pulled back the string , and then stopped . i couldnt take out one of these like , this unless i set it on fire . i could take it out with a few arrows but its best to kill thrashers before they realize youre there ."
3,20,"instead i lowered my bow and slowly crept up to it , until i could see the hideous claws on its hands and the hatred in its eyes . thrashers hate everything and sometimes i wonder how they tolerate each other . i aimed for the head again and released the arrow . it whizzed silently into the thrasher and it howled in pain as the arrow dug into its fur . a low growl sounded in its throat and it charged . i ducked as it slashed my side and i winced . my shirt slowly turned blue from the trickling wound . it turned back around and threw its self at me . i pulled out my hunting knife out just as he landed on me . i pushed him off and grabbed my fallen bow , the familiar feeling of the wood boosting my confidence . i turned back around and started back where i left off , but then a body slammed into me . i just had enough time to see the thrasher , before the fur and dirt filled my vision . i spit out the clump of wiry hair that had somehow found its way into my gasping mouth . i felt a searing pain as the thrasher raked my left leg . i closed my eyes against the pain , trying to focus myself against the dull throb in my shin . then the thrasher went limp against me . it was hauled off of my body and i found myself looking up into the face of a very unhappy dark blue haired boy . his sword was gripped tightly in his clenched fingers and a look of amusement , or many it was anger , shone on his face . i swallowed and collected my weapons from the ground , not daring to look at my leg . i tried to place weight on my leg but winced as pain shot up it ."
4,20,"he kicked the dead thrasher one more time before sheathing his sword . you know better jazell then to take on a monster by yourself . you never know what kind it is until you have already changed , he scolded me and i could feel a lecture coming . claw marks ran up my shin and my blue blood was soaking my pants . i had to seth ; it was heading for my house . i dont care jazell ; if i hadnt been here i would have found you shredded to small pieces . all you had to do was send me a quick text and i would have showed up to help . i sighed in annoyance , not in the mood for this right now . seth was like this sometimes , strict and serious , but he was normally a jokester . hes strict on the fact that we attack in groups , mostly for the reason that he didnt want anything to happen to our group . i started to slowly limp back to my body but seth just disappeared from my side . he has this annoying skill to be able to just return to his body without having to be near it , which wasnt fair when he wasnt the one injured . i , however , had to stiffly make my way to my dormant human body . once i was near it , i closed my eyes and the wind picked back up . my body felt hot and cold simultaneously as i returned . i reopened my eyes and stood up , stretched , and grabbed my bag . my back sent a chorus of cracks cascading upwards as i straightened myself . i raised the side of my shirt to find the thin , red scratch marks . any injuries i get in my hunter form i have when i become human again , just not as severe . i quickly ran my fingers over the darker , thicker marks on my shin , the skin sore and purple ."
5,20,"i quickly checked myself for any other injures i might have acquired from my tangle with the thrasher , but all i found was a bunch of bruises . seth seemed to have disappeared , so i trudged down the road to my house . its cozy familiar blue paint and white shutters helped to relax me as i pushed open the door . my house wasnt very big and fancy ; it was actually pretty plain but thats why i loved it . it had two floors , with a fair sized kitchen and a mini living room . my room was just up the stairs , and it beckoned to me even though i was more interested in dinner . my mom was cooking in the kitchen and my dad was sitting at the kitchen table going through his usual paper work . he looked up as i entered , pushing his glasses back up his face . i kissed his cheek and my moms before heading toward the stairs . dinners ready in a few minutes , jazell ! my mom called as i climbed the stairs , eager to collapse on my bed for a few minutes . my room was painted a light green , with a bed shoved in the corner and a bookshelf overflowing with books . i had a small desk to the left of my bed that was piled up high with homework and random drawings . i threw my bag on my bed and took off my shoes . then i headed back down stairs to help set the table . my mom handed me some dishes and utensils . he frowned and pointed to my scratched shin . i tripped on a crack and scraped my leg . i said flatly , the lie rolling off my tongue easily . i placed my last dish down and sat in my chair ."
6,20,"i wouldnt be surprised if you tripped on your own feet . my parents had believed for a long time that i was a klutz . that was the only way to explain the million of cuts and bruises i gained from fighting creatures . the truth is that i have really great balance , which i had gained from so much fighting . i was a little klutzy when i was small , so it was easy for my parents to believe i still was . after dinner i went straight up stairs to go to sleep . and hopefully my phone wouldnt stop me like it did most nights . monsters loved to come out at night and cause trouble . they never seem to rest , much to my annoyance . i sighed and rolled over , burying my face in my pillow . i managed to think about something other than creatures that go bump in the night as i drifted off to sleep . in the morning i changed and ran down stairs and left a note saying i was going out to eat with jason , emily and seth . it took me minutes to speed down to the small breakfast restaurant in town . i chained up my bike and walked over to the plastic blue table my friends had occupied . i slid in next to emily , who was talking about some book she had read recently . jason , who sat next to her , was pretending to be fascinated by her rant . emily stopped in mid-sentence when she noticed me sitting beside her . is it true , did you take on a monster by yourself yesterday ? well you did and i thought the group had a right to know that . plus i bet all of us want a shot at them too ."
7,20,"the light brown curls that framed her pretty face bounced around playfully . he never talked much like emily , who was easily the most talkative , friendly person i knew . jason was more of the silent , watching type , who said little but noticed much . i traced in a puddle on the table , avoiding everyones eye contact as they stared at me . hey seth , its not like you havent done something stupid . hey dont make me nag you about the time you almost took off my head with your throwing knifes . jason stopped dead and narrowed his eyes . alright , we understand that weve all done stupid , foolish things . so lets just add this accident to my list , okay ? i said quickly before the two started something . they nodded but shot each other smirks . i sighed , wondering why those two buffoons had been granted this power along , with emily and me . its not like they werent foolish enough already . the day when it all changed was still a mystery to us . a lot of things happened that didnt quite make sense . the four of us were already best friends . we were walking through the woods , rambling on about how halloween was almost here and that ms. stecher was still giving us too much homework . then all of a sudden an invisible object slammed into me . seth ran forward and grabbed a branch to protect me . it should have gone right through the air but it collided into something and snapped in half ."
8,20,"emily ran over to me but was plowed to the ground . she screamed , spitting out dirt , twigs and leaves . he didnt have a clue as what to do to fight these invisible creatures . none of us did , at that time , because we didnt know what was going on . the world was still a normal place to us at the time . something grabbed seths legs and pulled him against a tree . he kicked and punched but couldnt find the right place to hit his attacker . i opened my mouth to say that we already were when he vanished . i heard emily yell the first curse words ive heard her say in a while . i spotted her red arm just before my body felt like fire . i didnt really black out but thats what i thought at the time . i opened my eyes to find i was sitting on the ground next to my sleeping body . i saw emily sitting there , saying nothing for once . something fell off my back and i picked it up . it was a wooden bow , and when i reached behind my back i felt a quiver full of feathered arrows strapped there . i ran a finger over the smooth , dark wood and turned to see seth crashing out of the woods . i smirked at him and pointed at his head . i giggled , not knowing why i was giggling after what had just happened to us a few minutes ago . he frowned and pulled a piece or two out of his head . his eyes widened , and i laughed at the shock on his face ."
9,20,"if we were dead , which was my best guess , why not poke fun at him ? i was wearing light brown hunting boots and tight black pants made out of some sort of light cloth . a thick woven jacket was shielding me from the october cold . when i looked back at seth , i realized he had also made an outfit change . he was wearing black leather boots and dark blue pants . his top was a short , brown cloak with a hood and leather belt . a beautiful steel sword with an ornamental hilt was swinging at his side from a woven sheath . i rambled as i examined the short hunting knife that was resting in a small sheath on my hip . i ran a finger over the blade before putting it back . how seth and i had acquired such dangerous weapons was anyones guess . i heard footsteps and turned to see emily running over . she was wearing a close fitting , long robe . it was a stunning deep blue with a trim of gold embroidery . she had no weapons dangling from her body were visible from where i was standing . she spun around so we could take in all of its bubblegum pink color . she looked at the bow slung over my shoulder and seths gleaming sword . hey , i dont have anything cool and deadly . why do you both get something like that and i didnt ? its not like you can trust jazell with something sharp or dangerous . arming you is as scary as giving a kindergartener a knife ."
