sentence_id,chunk_id,pos,text
0,0,0,the half-ling book one in the fall of igneeria series kaylee soderburg copyright 2013 kaylee soderburg all rights reserved .
1,0,1,"isbn : 1492913731 isbn-13 : 978-1492913733 for my family , who encouraged me to never stop fighting for my dreams chapter 1 summer vacations supposed to be fun , right ?"
2,0,2,i wish i had a better answer to that question .
3,0,3,"starlings , new york is not the place youd expect much to happen ."
4,0,4,"its a small quiet town , the kind where everyone knows your name ."
5,0,5,its a place where your parents wouldnt even care if you stayed out late biking with your friends .
6,0,6,"only because everyone felt so safe , so comfy ."
7,0,7,i know it all and starlings is not the place where you want to be after dark .
8,0,8,"the only reason why no one knows this is because jason , emily , seth and i have kept it that way ."
9,0,9,"i walked along the empty road alone , occasionally waving to passing kids on bikes ."
10,0,10,"my backpack was slung over my shoulder , filled with my writing books and sketchpads ."
11,0,11,"i kept my eyes on the shadowed road , watching my every step ."
12,0,12,"usually i was more aware of my surroundings , but today i was tired and didnt care if i rammed into a tree ."
13,0,13,"the sun was starting to set , painting the sky in brilliant oranges and reds ."
14,0,14,"it slipped down the sky , allowing the first stars to peek out from behind the bright curtain ."
15,0,15,"the remaining light cast shadows over everything , creating the illusion that there was double of everything ."
16,0,16,"the world prepared to go into its hours of unreal silence that made it seem magical , and it really was ."
17,0,17,my phone buzzed and i awoke from my trance .
18,0,18,i thumbed the keypad and opened the message seth had sent me .
19,0,19,i flipped open the pad and wrote : walking home .
20,1,0,i shoved it back in my pocket and continued walking .
21,1,1,the sun was almost gone and shadows were starting to appear behind everything .
22,1,2,"i looked at my own shadow , that danced behind me ."
23,1,3,the phone buzzed again as seth sent me a reply .
24,1,4,"my ears heard nothing and i didnt see any movement but my hands shook slightly as i typed , nothing , im fine ."
25,1,5,i didnt open his reply because i knew what it would say .
26,1,6,i already knew that it was strangely quiet .
27,1,7,maybe i could stay home and sleep one night .
28,1,8,or maybe i could finish a painting tonight and watch mom do origami .
29,1,9,"i turned the corner , and my house came into view ."
30,1,10,i started to climb the hill when i froze .
31,1,11,out of my left eye i saw the outline of a creature .
32,1,12,it was heading through the woods in the direction of my house .
33,1,13,i swore under my breath and took off for the woods .
34,1,14,my feet crunched on the fallen branches and leaves .
35,1,15,i placed my bag on the ground and crossed my legs .
36,1,16,i started to grab my phone but stopped .
37,1,17,"i didnt need to tell the others , it was just one ."
38,1,18,"and if i was lucky , it would be an easy take down ."
39,1,19,i closed my eyes and began my mental countdown .
40,2,0,"the wind picked up around me , as if a wind current had just appeared out of nowhere ."
41,2,1,"5 my body started to feel hot , like i was being hugged by the sun ."
42,2,2,4 power surged through me as i was freed from my human self .
43,2,3,"3 i felt cold , like being dipped in ice water ."
44,2,4,2 i was hollow and could probably see my own body if i opened my eyes .
45,2,5,but i could never get the courage to do that .
46,2,6,my body felt normal except it was different .
47,2,7,i opened my eyes and looked over to where i just had been or still was .
48,2,8,my human body slightly glowed as it sat in meditation under the tree .
49,2,9,i could see the monster clearly now that i had stepped into its world .
50,2,10,"it was hunched over , occasionally touching the ground with one of its curled front paws ."
51,2,11,the beady black eyes made it no less scary .
52,2,12,thrashers were probably one of the most feral and nasty monsters ive ever encountered .
53,2,13,they sometimes travel alone or hunt in packs .
54,2,14,"theyre awful in packs , extremely hard to take out without their knowledge of your presence ."
55,2,15,"i placed an arrow in my bow , and aimed for the head ."
56,2,16,i couldnt let the creature reach my house .
57,2,17,"i pulled back the string , and then stopped ."
58,2,18,"i couldnt take out one of these like , this unless i set it on fire ."
59,2,19,i could take it out with a few arrows but its best to kill thrashers before they realize youre there .
60,3,0,"instead i lowered my bow and slowly crept up to it , until i could see the hideous claws on its hands and the hatred in its eyes ."
61,3,1,thrashers hate everything and sometimes i wonder how they tolerate each other .
62,3,2,i aimed for the head again and released the arrow .
63,3,3,it whizzed silently into the thrasher and it howled in pain as the arrow dug into its fur .
64,3,4,a low growl sounded in its throat and it charged .
65,3,5,i ducked as it slashed my side and i winced .
66,3,6,my shirt slowly turned blue from the trickling wound .
67,3,7,it turned back around and threw its self at me .
68,3,8,i pulled out my hunting knife out just as he landed on me .
69,3,9,"i pushed him off and grabbed my fallen bow , the familiar feeling of the wood boosting my confidence ."
70,3,10,"i turned back around and started back where i left off , but then a body slammed into me ."
71,3,11,"i just had enough time to see the thrasher , before the fur and dirt filled my vision ."
72,3,12,i spit out the clump of wiry hair that had somehow found its way into my gasping mouth .
73,3,13,i felt a searing pain as the thrasher raked my left leg .
74,3,14,"i closed my eyes against the pain , trying to focus myself against the dull throb in my shin ."
75,3,15,then the thrasher went limp against me .
76,3,16,it was hauled off of my body and i found myself looking up into the face of a very unhappy dark blue haired boy .
77,3,17,"his sword was gripped tightly in his clenched fingers and a look of amusement , or many it was anger , shone on his face ."
78,3,18,"i swallowed and collected my weapons from the ground , not daring to look at my leg ."
79,3,19,i tried to place weight on my leg but winced as pain shot up it .
80,4,0,he kicked the dead thrasher one more time before sheathing his sword .
81,4,1,you know better jazell then to take on a monster by yourself .
82,4,2,"you never know what kind it is until you have already changed , he scolded me and i could feel a lecture coming ."
83,4,3,claw marks ran up my shin and my blue blood was soaking my pants .
84,4,4,i had to seth ; it was heading for my house .
85,4,5,i dont care jazell ; if i hadnt been here i would have found you shredded to small pieces .
86,4,6,all you had to do was send me a quick text and i would have showed up to help .
87,4,7,"i sighed in annoyance , not in the mood for this right now ."
88,4,8,"seth was like this sometimes , strict and serious , but he was normally a jokester ."
89,4,9,"hes strict on the fact that we attack in groups , mostly for the reason that he didnt want anything to happen to our group ."
90,4,10,i started to slowly limp back to my body but seth just disappeared from my side .
91,4,11,"he has this annoying skill to be able to just return to his body without having to be near it , which wasnt fair when he wasnt the one injured ."
92,4,12,"i , however , had to stiffly make my way to my dormant human body ."
93,4,13,"once i was near it , i closed my eyes and the wind picked back up ."
94,4,14,my body felt hot and cold simultaneously as i returned .
95,4,15,"i reopened my eyes and stood up , stretched , and grabbed my bag ."
96,4,16,my back sent a chorus of cracks cascading upwards as i straightened myself .
97,4,17,"i raised the side of my shirt to find the thin , red scratch marks ."
98,4,18,"any injuries i get in my hunter form i have when i become human again , just not as severe ."
99,4,19,"i quickly ran my fingers over the darker , thicker marks on my shin , the skin sore and purple ."
100,5,0,"i quickly checked myself for any other injures i might have acquired from my tangle with the thrasher , but all i found was a bunch of bruises ."
101,5,1,"seth seemed to have disappeared , so i trudged down the road to my house ."
102,5,2,its cozy familiar blue paint and white shutters helped to relax me as i pushed open the door .
103,5,3,my house wasnt very big and fancy ; it was actually pretty plain but thats why i loved it .
104,5,4,"it had two floors , with a fair sized kitchen and a mini living room ."
105,5,5,"my room was just up the stairs , and it beckoned to me even though i was more interested in dinner ."
106,5,6,my mom was cooking in the kitchen and my dad was sitting at the kitchen table going through his usual paper work .
107,5,7,"he looked up as i entered , pushing his glasses back up his face ."
108,5,8,i kissed his cheek and my moms before heading toward the stairs .
109,5,9,"dinners ready in a few minutes , jazell !"
110,5,10,"my mom called as i climbed the stairs , eager to collapse on my bed for a few minutes ."
111,5,11,"my room was painted a light green , with a bed shoved in the corner and a bookshelf overflowing with books ."
112,5,12,i had a small desk to the left of my bed that was piled up high with homework and random drawings .
113,5,13,i threw my bag on my bed and took off my shoes .
114,5,14,then i headed back down stairs to help set the table .
115,5,15,my mom handed me some dishes and utensils .
116,5,16,he frowned and pointed to my scratched shin .
117,5,17,i tripped on a crack and scraped my leg .
118,5,18,"i said flatly , the lie rolling off my tongue easily ."
119,5,19,i placed my last dish down and sat in my chair .
120,6,0,i wouldnt be surprised if you tripped on your own feet .
121,6,1,my parents had believed for a long time that i was a klutz .
